Quarter,Pipeline,Total Daily Transportation (DTH),Monthly Est. Transportation Reservation Revenue ($),Total Storage (DTH),Monthly Estimated Storage Reservation Revenue ($),Average Contract Length (Months),Active Contracts
Q3 2022,ANR Pipeline Company,8233763,43132143,185717243,NA,131,633
Q3 2022,ANR Storage Company,0,0,54740360,NA,103,20
Q3 2022,Arlington Storage Company LLC,445015,NA,16591160,NA,37,27
Q3 2022,BBT (AlaTenn) LLC,116452,236313,0,NA,62,20
Q3 2022,BBT (Midla) LLC,26675,11959,0,NA,134,5
Q3 2022,Big Sandy Pipeline LLC,137721,2378773,0,NA,198,2
Q3 2022,Black Hills Shoshone Pipeline LLC,12000,NA,0,NA,19,1
Q3 2022,Blue Lake Gas Storage Company,0,NA,48000000,27480000,143,5
Q3 2022,Bluewater Gas Storage LLC,0,NA,31399208,NA,42,41
Q3 2022,Boardwalk Storage Co LLC,0,NA,6580000,NA,33,8
Q3 2022,Bobcat Storage,0,NA,22542200,NA,35,20
Q3 2022,Cadeville Gas Storage LLC,0,NA,20000000,NA,119,1
Q3 2022,Caledonia Energy Partners LLC,0,NA,7550000,NA,33,5
Q3 2022,Cameron Interstate Pipeline LLC,1540730,2018049,0,NA,168,6
Q3 2022,Carlsbad Gateway LLC,180000,NA,0,NA,76,1
Q3 2022,Chandeleur Pipe Line LLC,10000,120604,0,NA,154,1
Q3 2022,Cheniere Creole Trail Pipeline L.P.,1530000,NA,0,NA,257,1
Q3 2022,Cheyenne Connector LLC,600000,NA,0,NA,120,2
Q3 2022,Cheyenne Plains Gas Pipeline Company LLC,286840,875706,0,NA,104,9
Q3 2022,Cimarron River Pipeline LLC,254320,79778,0,NA,79,2
Q3 2022,Colorado Interstate Gas Company L.L.C.,5366900,14488985,41981989,162685758,185,142
Q3 2022,Columbia Gas Transmission LLC,14341617,129298893,250458252,NA,174,606
Q3 2022,Columbia Gulf Transmission LLC,5484653,25485581,0,NA,121,97
Q3 2022,Corpus Christi Pipeline,2805000,7902246,0,NA,142,2
Q3 2022,Crossroads Pipeline Company,52177,196447,0,NA,78,7
Q3 2022,Dauphin Island Gathering Partners,34530,NA,0,NA,6,8
Q3 2022,Destin Pipeline Company L.L.C.,443118,2493250,0,NA,965,61
Q3 2022,Discovery Gas Transmission LLC,369498,NA,0,NA,2,67
Q3 2022,Dominion Energy Carolina Gas Transmission LLC,861543,3886959,0,NA,86,81
Q3 2022,Dominion Energy Cove Point LNG LP,3061999,40145456,7822500,NA,247,29
Q3 2022,East Cheyenne Gas Storage LLC,0,NA,6000000,NA,31,6
Q3 2022,East Tennessee Natural Gas LLC,1710926,14522165,1090043,NA,108,184
Q3 2022,Eastern Gas Transmission and Storage Inc,8587768,44159483,298443335,4517923,204,400
Q3 2022,Egan Hub Storage LLC,0,NA,20600000,NA,34,15
Q3 2022,El Paso Natural Gas Company L.L.C.,8255535,55077038,0,NA,120,244
Q3 2022,Elba Express Company L.L.C.,2043197,8299008,0,NA,155,23
Q3 2022,Empire Pipeline Inc.,4776856,NA,0,0,82,18
Q3 2022,Enable Gas Transmission LLC,19266970,22824300,0,NA,75,752
Q3 2022,Enable Mississippi River Transmission LLC,1404887,3733357,27250818,44604138,256,87
Q3 2022,Equitrans L.P.,3773411,14326730,29792669,631467,134,51
Q3 2022,ETC Tiger Pipeline LLC,2100000,14021817,0,NA,27,23
Q3 2022,Florida Gas Transmission Company LLC,5484667,17030485,0,NA,290,192
Q3 2022,Florida Southeast Connection LLC,905000,NA,0,NA,288,3
Q3 2022,Freebird Gas Storage LLC,0,NA,4250000,NA,26,4
Q3 2022,Garden Banks Gas Pipeline LLC,101492,NA,0,NA,NA,13
Q3 2022,Gas Transmission Northwest LLC,2911676,NA,0,NA,220,132
Q3 2022,Golden Pass Pipeline LLC,2600910,2813413,0,NA,300,3
Q3 2022,Golden Triangle Storage Inc,165000,NA,8000000,NA,31,12
Q3 2022,Granite State Gas Transmission Inc.,80200,9727,0,NA,11,3
Q3 2022,Great Lakes Gas Transmission Limited Partnership,2684537,19501450,0,NA,93,92
Q3 2022,Guardian Pipeline L.L.C.,2343125,7533051,0,NA,128,27
Q3 2022,Gulf South Pipeline Company LP,10880734,78314963,67123622,NA,95,261
Q3 2022,Gulfstream Natural Gas System L.L.C.,1388000,NA,0,NA,225,18
Q3 2022,Hardy Storage Company LLC,0,NA,12361000,NA,234,3
Q3 2022,Honeoye Storage Corporation,0,NA,2701000,NA,25,11
Q3 2022,Horizon Pipeline Company L.L.C.,380000,1258560,0,NA,180,2
Q3 2022,Iroquois Gas Transmission System L.P.,1502120,9579815,0,NA,167,73
Q3 2022,Kern River Gas Transmission Company,3591110,33920572,0,NA,73,129
Q3 2022,Kinder Morgan Illinois Pipeline LLC,200000,180000,0,NA,71,1
Q3 2022,Kinder Morgan Louisiana Pipeline LLC,1610000,4635900,0,NA,163,3
Q3 2022,Kinetica Partners LLC,27647,302735,0,NA,355,4
Q3 2022,KPC Pipeline LLC,94754,630778,0,NA,52,9
Q3 2022,Leaf River Energy Center LLC,0,NA,26749117,NA,60,9
Q3 2022,Maritimes & Northeast Pipeline L.L.C.,1084226,9887186,0,NA,155,13
Q3 2022,MarkWest New Mexico L.L.C.,276000,NA,0,NA,310,1
Q3 2022,MarkWest Pioneer LLC,511000,NA,0,NA,86,8
Q3 2022,Midcontinent Express Pipeline LLC,1245000,24142726,0,NA,16,25
Q3 2022,Midship Pipeline Company LLC,800000,NA,0,NA,30,4
Q3 2022,Midwestern Gas Transmission Company,1423123,3715501,0,NA,174,52
Q3 2022,MIGC LLC,76648,289145,0,NA,88,10
Q3 2022,Millennium Pipeline Company LLC,2274969,35901860,0,NA,119,51
Q3 2022,Mississippi Canyon Gas Pipeline LLC,123294,34157,0,NA,NA,16
Q3 2022,Mississippi Hub LLC,0,NA,15500000,NA,43,13
Q3 2022,Mojave Pipeline Company L.L.C.,492936,1245156,0,NA,198,3
Q3 2022,Monroe Gas Storage Company LLC,0,NA,5750000,NA,36,8
Q3 2022,MountainWest Overthrust Pipeline LLC,1936462,2568548,0,NA,79,41
Q3 2022,MountainWest Pipeline LLC,2280388,12158867,54486118,6791472,171,99
Q3 2022,National Fuel Gas Supply Corporation,3120149,8757559,67390115,3049882,91,152
Q3 2022,National Grid LNG LLC,0,NA,2259664,NA,239,3
Q3 2022,Natural Gas Pipeline Company of America LLC,9667697,NA,279093275,NA,51,368
Q3 2022,Nautilus Pipeline Company L.L.C.,480591,1943321,0,NA,NA,62
Q3 2022,Nexus,1590505,34276290,0,NA,72,29
Q3 2022,NGO Transmission Inc.,76773,NA,43260,NA,229,1
Q3 2022,North Baja Pipeline LLC,972300,3467777,0,NA,200,15
Q3 2022,Northern Border Pipeline Company,3916681,NA,0,NA,130,149
Q3 2022,Northern Natural Gas Company,22235314,25090300,97104427,111400070,94,1266
Q3 2022,Northwest Pipeline LLC,5090523,38520569,8836002,NA,250,217
Q3 2022,OkTex Pipeline Company L.L.C.,5552,790743,0,NA,188,4
Q3 2022,Ozark Gas Transmission L.L.C.,138580,1098939,0,NA,8413,10
Q3 2022,Paiute Pipeline Company,210725,NA,949872,NA,213,29
Q3 2022,Panhandle Eastern Pipe Line Company LP,3030792,619214,40707553,12706,239,203
Q3 2022,Perryville Gas Storage LLC,0,NA,6650000,NA,43,8
Q3 2022,PGPipeline LLC,11200,NA,0,NA,71,1
Q3 2022,Pine Needle LNG Company L.L.C.,0,NA,4140000,NA,239,5
Q3 2022,Pine Prairie Energy Center LLC,0,NA,54408540,NA,37,36
Q3 2022,Portland General Electric Company,159726,NA,0,NA,228,1
Q3 2022,Portland Natural Gas Transmission System LP,434105,10292512,0,NA,181,25
Q3 2022,PPG Shawville Pipeline LLC,277000,NA,0,NA,58,2
Q3 2022,Rendezvous Pipeline Company LLC,180000,NA,0,NA,240,2
Q3 2022,Rh Energytrans Llc,40000,NA,0,NA,179,1
Q3 2022,Roaring Fork Interstate Gas Pipeline,20000,NA,0,NA,300,1
Q3 2022,Rockies Express Pipeline LLC,5939710,128421147,0,NA,82,80
Q3 2022,Rover Pipeline LLC,3402500,6650548,0,NA,91,19
Q3 2022,Ruby Pipeline LLC,494500,17101096,0,NA,103,7
Q3 2022,Sabal Trail Transmission LLC,978000,50182735,0,NA,206,3
Q3 2022,Sabine Pipe Line LLC,303030,3825117,0,NA,240,1
Q3 2022,Saltville Gas Storage Company LLC,0,NA,5262010,573994,59,43
Q3 2022,Sea Robin Pipeline Company LLC,43383,357357,0,NA,123,4
Q3 2022,SG Resources Mississippi LLC,0,NA,16875000,NA,35,15
Q3 2022,Sierrita Gas Pipeline LLC,431100,6423778,0,NA,261,1
Q3 2022,Southeast Supply Header LLC.,985000,9413214,0,NA,74,17
Q3 2022,Southern LNG Company LLC,0,NA,11761920,NA,267,3
Q3 2022,Southern Natural Gas Company L.L.C.,4321656,25212352,53092011,1268900,198,583
Q3 2022,Southern Star Central Gas Pipeline Inc.,3951133,14626794,44821693,199091,184,288
Q3 2022,Southwest Gas Storage Company,0,NA,57117890,NA,35,2
Q3 2022,Spire STL Pipeline LLC,360000,NA,0,NA,126,2
Q3 2022,Spire Storage West LLC,0,NA,42257195,NA,11,179
Q3 2022,Stagecoach Pipeline and Storage Company LLC,2404607,NA,21409200,NA,34,53
Q3 2022,Steckman Ridge LP,0,NA,8350000,NA,20,8
Q3 2022,Stingray Pipeline Company L.L.C.,3864,89838,0,NA,NA,7
Q3 2022,Tallgrass Interstate Gas Transmission LLC,626754,3297569,10297942,4686,70,77
Q3 2022,Tennessee Gas Pipeline Company L.L.C.,13579202,31235931,81909914,1105355,271,652
Q3 2022,Texas Eastern Transmission LP,15087629,31563045,71992173,699574258,107,519
Q3 2022,Texas Gas Transmission LLC,4913157,30129043,66442075,51356392,101,283
Q3 2022,Trailblazer Pipeline Company LLC,1225008,7955293,0,NA,93,71
Q3 2022,Trans-Union Interstate Pipeline LP,470000,773385,0,NA,159,4
Q3 2022,TransColorado Gas Transmission Company LLC,365550,3406707,0,NA,48,5
Q3 2022,Transcontinental Gas Pipe Line Company LLC,18611737,71651750,190090030,9975299,173,641
Q3 2022,Transwestern Pipeline Company LLC,2149617,13526588,0,NA,53,77
Q3 2022,Tres Palacios Gas Storage LLC,0,NA,31068034,NA,19,42
Q3 2022,Trunkline Gas Company LLC,3743985,6724185,4029945,11132751,92,113
Q3 2022,Tuscarora Gas Transmission Company,248584,1822245,0,NA,253,24
Q3 2022,UGI LNG Inc,10000,NA,10000,NA,97,1
Q3 2022,UGI Mt. Bethel Pipeline Company LLC,72000,NA,0,NA,239,1
Q3 2022,UGI Storage Company,0,NA,88002,NA,31,9
Q3 2022,UGI Sunbury LLC,200000,NA,0,NA,275,2
Q3 2022,USG Pipeline Company LLC,9200,NA,0,NA,156,2
Q3 2022,Vector Pipeline L.P.,3209748,11180978,0,NA,137,57
Q3 2022,Venice Gathering System L.L.C.,222584,NA,0,NA,403,10
Q3 2022,Viking Gas Transmission Company,618500,2487753,0,NA,168,110
Q3 2022,WBI Energy Transmission Inc.,1928264,2394826,12673107,297438,88,68
Q3 2022,WestGas InterState Inc.,8000,NA,0,NA,6,2
Q3 2022,White River Hub LLC,2400000,748392,0,NA,170,3
Q3 2022,WTG Hugoton L.P.,54100,161230,0,NA,191,3
Q3 2022,Wyoming Interstate Company L.L.C.,3236730,38903657,0,NA,85,53
Q3 2022,Young Gas Storage Company Ltd.,0,NA,6374843,10048793,343,2
Q2 2022,Adelphia Gateway LLC,600000,NA,0,NA,106,5
Q2 2022,Algonquin Gas Transmission LLC,5239406,34881126,0,NA,86,157
Q2 2022,Alliance Pipeline L.P.,1826602,14284026,0,NA,49,58
Q2 2022,ANR Pipeline Company,8233763,43132143,185717243,NA,131,633
Q2 2022,ANR Storage Company,0,0,57240360,NA,98,21
Q2 2022,Arlington Storage Company LLC,452015,NA,17798639,NA,39,23
Q2 2022,BBT (AlaTenn) LLC,107577,198445,0,NA,104,20
Q2 2022,BBT (Midla) LLC,26725,10722,0,NA,114,6
Q2 2022,Big Sandy Pipeline LLC,137721,2378773,0,NA,198,2
Q2 2022,Black Hills Shoshone Pipeline LLC,12000,NA,0,NA,NA,1
Q2 2022,Blue Lake Gas Storage Company,0,NA,48000000,27480000,143,5
Q2 2022,Bluewater Gas Storage LLC,0,NA,30755220,NA,38,46
Q2 2022,Boardwalk Storage Co LLC,0,NA,6580000,NA,33,8
Q2 2022,Bobcat Storage,0,NA,22542200,NA,35,20
Q2 2022,Cadeville Gas Storage LLC,0,NA,20000000,NA,119,1
Q2 2022,Caledonia Energy Partners LLC,0,NA,7550000,NA,47,5
Q2 2022,Cameron Interstate Pipeline LLC,1540730,2018049,0,NA,168,6
Q2 2022,Carlsbad Gateway LLC,180000,NA,0,NA,76,1
Q2 2022,Chandeleur Pipe Line LLC,10000,120604,0,NA,26,1
Q2 2022,Cheniere Creole Trail Pipeline L.P.,1530000,NA,0,NA,257,1
Q2 2022,Cheyenne Connector LLC,600000,NA,0,NA,120,2
Q2 2022,Cheyenne Plains Gas Pipeline Company LLC,291840,929168,0,NA,111,9
Q2 2022,Cimarron River Pipeline LLC,254320,79778,0,NA,79,2
Q2 2022,Colorado Interstate Gas Company L.L.C.,5387600,14873582,41981991,162685758,184,141
Q2 2022,Columbia Gas Transmission LLC,14145941,126860255,253458252,NA,173,606
Q2 2022,Columbia Gulf Transmission LLC,5100421,23351990,0,NA,116,87
Q2 2022,Corpus Christi Pipeline,2805000,7902246,0,NA,142,2
Q2 2022,Crossroads Pipeline Company,52100,196158,0,NA,78,7
Q2 2022,Dauphin Island Gathering Partners,34530,NA,0,NA,6,8
Q2 2022,Destin Pipeline Company L.L.C.,403820,2213841,0,NA,948,60
Q2 2022,Discovery Gas Transmission LLC,387246,NA,0,NA,2,67
Q2 2022,Dominion Energy Carolina Gas Transmission LLC,920474,4167383,0,NA,86,82
Q2 2022,Dominion Energy Cove Point LNG LP,3061999,40145456,7822500,NA,247,29
Q2 2022,East Cheyenne Gas Storage LLC,0,NA,6000000,NA,28,7
Q2 2022,East Tennessee Natural Gas LLC,1710926,14522165,1090043,NA,108,184
Q2 2022,Eastern Gas Transmission and Storage Inc,8565965,43633019,298443335,4517923,204,398
Q2 2022,Egan Hub Storage LLC,0,NA,20600000,NA,34,15
Q2 2022,El Paso Natural Gas Company L.L.C.,7924834,53386553,0,NA,124,235
Q2 2022,Elba Express Company L.L.C.,2043197,8299008,0,NA,155,23
Q2 2022,Empire Pipeline Inc.,963766,NA,3753090,173393,102,14
Q2 2022,Enable Gas Transmission LLC,4071949,35235712,15355120,NA,75,752
Q2 2022,Enable Mississippi River Transmission LLC,1480544,3914662,27250818,NA,255,87
Q2 2022,Equitrans L.P.,3822876,14721358,29792669,631467,122,56
Q2 2022,ETC Tiger Pipeline LLC,1950000,12434442,0,NA,25,22
Q2 2022,Florida Gas Transmission Company LLC,5518519,17135108,0,NA,290,189
Q2 2022,Florida Southeast Connection LLC,905000,NA,0,NA,288,3
Q2 2022,Freebird Gas Storage LLC,0,NA,4250000,NA,44,4
Q2 2022,Garden Banks Gas Pipeline LLC,110501,NA,0,NA,NA,13
Q2 2022,Gas Transmission Northwest LLC,3067326,NA,0,NA,213,134
Q2 2022,Golden Pass Pipeline LLC,2600910,2813413,0,NA,300,3
Q2 2022,Golden Triangle Storage Inc,165000,NA,8000000,NA,31,12
Q2 2022,Granite State Gas Transmission Inc.,136200,9727,0,NA,11,3
Q2 2022,Great Lakes Gas Transmission Limited Partnership,2723987,19848044,0,NA,89,92
Q2 2022,Guardian Pipeline L.L.C.,2343125,7533051,0,NA,127,27
Q2 2022,Gulf South Pipeline Company LP,10824966,74394750,66673622,NA,95,256
Q2 2022,Gulfstream Natural Gas System L.L.C.,1388000,NA,0,NA,218,18
Q2 2022,Hardy Storage Company LLC,0,NA,0,NA,214,3
Q2 2022,Honeoye Storage Corporation,0,NA,2401000,NA,26,10
Q2 2022,Horizon Pipeline Company L.L.C.,380000,1258560,0,NA,180,2
Q2 2022,Iroquois Gas Transmission System L.P.,1542120,9920475,0,NA,161,74
Q2 2022,Kern River Gas Transmission Company,3684910,34841331,0,NA,72,129
Q2 2022,Kinder Morgan Illinois Pipeline LLC,200000,180000,0,NA,71,1
Q2 2022,Kinder Morgan Louisiana Pipeline LLC,1610000,4635900,0,NA,163,3
Q2 2022,Kinetica Partners LLC,29447,322445,0,NA,381,4
Q2 2022,KPC Pipeline LLC,94754,630778,0,NA,52,9
Q2 2022,Leaf River Energy Center LLC,0,NA,26749117,NA,60,9
Q2 2022,Maritimes & Northeast Pipeline L.L.C.,1084226,9887186,0,NA,155,13
Q2 2022,MarkWest New Mexico L.L.C.,276000,NA,0,NA,310,1
Q2 2022,MarkWest Pioneer LLC,466000,NA,0,NA,86,8
Q2 2022,Midcontinent Express Pipeline LLC,1245000,22963726,0,NA,14,28
Q2 2022,Midship Pipeline Company LLC,800000,NA,0,NA,119,4
Q2 2022,Midwestern Gas Transmission Company,1413123,3691016,0,NA,174,51
Q2 2022,MIGC LLC,70121,201966,0,NA,87,9
Q2 2022,Millennium Pipeline Company LLC,2209071,33970865,0,NA,114,50
Q2 2022,Mississippi Canyon Gas Pipeline LLC,121655,27916,0,NA,NA,16
Q2 2022,Mississippi Hub LLC,0,NA,15500000,NA,43,13
Q2 2022,Mojave Pipeline Company L.L.C.,492936,1245156,0,NA,194,3
Q2 2022,Monroe Gas Storage Company LLC,0,NA,5700000,NA,30,7
Q2 2022,MountainWest Overthrust Pipeline LLC,1931218,2519553,0,NA,69,40
Q2 2022,MountainWest Pipeline LLC,2275488,12132956,54486118,6791472,171,98
Q2 2022,National Fuel Gas Supply Corporation,3040249,8360954,67390115,3049882,93,148
Q2 2022,National Grid LNG LLC,0,NA,2259664,NA,239,3
Q2 2022,Natural Gas Pipeline Company of America LLC,9743188,NA,279093275,NA,51,369
Q2 2022,Nautilus Pipeline Company L.L.C.,431137,1731691,0,NA,NA,59
Q2 2022,Nexus,1545505,32864485,0,NA,72,29
Q2 2022,NGO Transmission Inc.,76773,NA,43260,NA,229,1
Q2 2022,North Baja Pipeline LLC,972300,3467777,0,NA,200,15
Q2 2022,Northern Border Pipeline Company,3951092,NA,0,NA,109,180
Q2 2022,Northern Natural Gas Company,19370498,23388282,128462284,144683237,91,1242
Q2 2022,Northwest Pipeline LLC,5087623,38486610,8836002,NA,251,216
Q2 2022,OkTex Pipeline Company L.L.C.,5552,790743,0,NA,188,4
Q2 2022,Ozark Gas Transmission L.L.C.,151580,1202029,0,NA,80,10
Q2 2022,Paiute Pipeline Company,210725,NA,949872,NA,213,29
Q2 2022,Panhandle Eastern Pipe Line Company LP,2989850,633821,40707553,12706,242,200
Q2 2022,Perryville Gas Storage LLC,0,NA,6650000,NA,37,8
Q2 2022,PGPipeline LLC,11200,NA,0,NA,71,1
Q2 2022,Pine Needle LNG Company L.L.C.,0,NA,4140000,NA,239,5
Q2 2022,Pine Prairie Energy Center LLC,0,NA,54113781,NA,36,37
