Pipeline,Date,Rate Schedule,Receipt Point,Receipt Zone,Delivery Point,Delivery Zone,Tariff Rate Type,Tariff Rate,Magnitude,Tariff Rate Structure,Rate Zone
"Columbia Gulf Transmission, LLC",07/01/2018,ITS-1,M/L Pool - Meico Denver | P2029730,ON,M/L Pool - Meico Denver | P2029730,ON,Fuel,0.26000,%         ,Zone Surcharge,Onshore
"Columbia Gulf Transmission, LLC",07/01/2018,ITS-2,M/L Pool - Meico Denver | P2029730,ON,M/L Pool - Meico Denver | P2029730,ON,ACA,0.00130,$/Dth,System,Entire System
"Columbia Gulf Transmission, LLC",07/01/2018,ITS-2,M/L Pool - Meico Denver | P2029730,ON,M/L Pool - Meico Denver | P2029730,ON,Fuel,0.26000,%         ,Zone Surcharge,Onshore
"Columbia Gulf Transmission, LLC",07/01/2018,PAL,M/L Pool - Meico Denver | P2029730,ON,M/L Pool - Meico Denver | P2029730,ON,Commodity,0.14800,$/Dth     ,System,Market
Crossroads Pipeline Company,07/01/2018,FT-1,Butler | 289405,XRD,Crossroads Cygnet | 734462,XRD,Fuel,0.00000,%         ,System,Entire System
Crossroads Pipeline Company,07/01/2018,FT-1,Butler | 289405,XRD,Crossroads Cygnet | 734462,XRD,Overrun,10.93000,�/Dth     ,System,Entire System
Crossroads Pipeline Company,07/01/2018,FT-1,Butler | 289405,XRD,Crossroads Cygnet | 734462,XRD,Reservation,0.10930,$/Dth/day ,System,Entire System
Crossroads Pipeline Company,07/01/2018,IT-1,Butler | 289405,XRD,Crossroads Cygnet | 734462,XRD,ACA,0.00130,$/Dth,System,Entire System
Crossroads Pipeline Company,07/01/2018,IT-1,Butler | 289405,XRD,Crossroads Cygnet | 734462,XRD,Commodity,10.93000,�/Dth     ,System,Entire System
Crossroads Pipeline Company,07/01/2018,IT-1,Butler | 289405,XRD,Crossroads Cygnet | 734462,XRD,Fuel,0.00000,%         ,System,Entire System
Crossroads Pipeline Company,07/01/2018,PALS,Butler | 289405,XRD,Crossroads Cygnet | 734462,XRD,Fuel,0.00000,%         ,System,Entire System
Crossroads Pipeline Company,07/01/2018,PALS,Butler | 289405,XRD,Crossroads Cygnet | 734462,XRD,Loaning,10.93000,�/Dth     ,System,Entire System
Crossroads Pipeline Company,07/01/2018,PALS,Butler | 289405,XRD,Crossroads Cygnet | 734462,XRD,Parking,10.93000,�/Dth     ,System,Entire System
Dauphin Island Gathering Partners,07/01/2018,FT-1 (DI),AST73 to Coden | 234061,NaN,CIG Sale | 695338,NaN,ACA,0.00130,$/Dth,System,Entire System
Dauphin Island Gathering Partners,07/01/2018,FT-1 (MP),AST73 to Coden | 234061,NaN,CIG Sale | 695338,NaN,ACA,0.00130,$/Dth,System,Entire System
Dauphin Island Gathering Partners,07/01/2018,FT-2 (DI),AST73 to Coden | 234061,NaN,CIG Sale | 695338,NaN,ACA,0.00130,$/Dth,System,Entire System
Dauphin Island Gathering Partners,07/01/2018,FT-2 (MP),AST73 to Coden | 234061,NaN,CIG Sale | 695338,NaN,ACA,0.00130,$/Dth,System,Entire System
Dauphin Island Gathering Partners,07/01/2018,IT-1 (DI),AST73 to Coden | 234061,NaN,CIG Sale | 695338,NaN,ACA,0.00130,$/Dth,Zone Surcharge,Entire System
Dauphin Island Gathering Partners,07/01/2018,IT-1 (MP),AST73 to Coden | 234061,NaN,CIG Sale | 695338,NaN,ACA,0.00130,$/Dth,System,Entire System
"Destin Pipeline Company, L.L.C.",07/01/2018,FT-1,030005-Okeanos to Destin Logical | 30005,NaN,Delivery To Viosca Knoll | VKGS,NaN,ACA,0.00130,$/Dth,System,Entire System
"Destin Pipeline Company, L.L.C.",07/01/2018,FT-1,030005-Okeanos to Destin Logical | 30005,NaN,Delivery To Viosca Knoll | VKGS,NaN,Commodity,0.30000,�/Dth     ,System,Entire System
"Destin Pipeline Company, L.L.C.",07/01/2018,FT-1,030005-Okeanos to Destin Logical | 30005,NaN,Delivery To Viosca Knoll | VKGS,NaN,Fuel,0.00000,%         ,System,Entire System
"Destin Pipeline Company, L.L.C.",07/01/2018,FT-1,030005-Okeanos to Destin Logical | 30005,NaN,Delivery To Viosca Knoll | VKGS,NaN,Reservation,0.23700,$/Dth/day ,System,Entire System
"Destin Pipeline Company, L.L.C.",07/01/2018,FT-2,030005-Okeanos to Destin Logical | 30005,NaN,Delivery To Viosca Knoll | VKGS,NaN,ACA,0.00130,$/Dth,System,Entire System
"Destin Pipeline Company, L.L.C.",07/01/2018,FT-2,030005-Okeanos to Destin Logical | 30005,NaN,Delivery To Viosca Knoll | VKGS,NaN,Commodity,0.30000,�/Dth     ,System,Entire System
"Destin Pipeline Company, L.L.C.",07/01/2018,FT-2,030005-Okeanos to Destin Logical | 30005,NaN,Delivery To Viosca Knoll | VKGS,NaN,Fuel,0.00000,%         ,System,Entire System
"Destin Pipeline Company, L.L.C.",07/01/2018,FT-2,030005-Okeanos to Destin Logical | 30005,NaN,Delivery To Viosca Knoll | VKGS,NaN,Overrun,0.23700,$/Dth     ,System,Entire System
"Destin Pipeline Company, L.L.C.",07/01/2018,FT-2,030005-Okeanos to Destin Logical | 30005,NaN,Delivery To Viosca Knoll | VKGS,NaN,Reservation,0.23700,$/Dth/day ,System,Entire System
"Destin Pipeline Company, L.L.C.",07/01/2018,IT,030005-Okeanos to Destin Logical | 30005,NaN,Delivery To Viosca Knoll | VKGS,NaN,ACA,0.00130,$/Dth,System,Entire System
"Destin Pipeline Company, L.L.C.",07/01/2018,IT,030005-Okeanos to Destin Logical | 30005,NaN,Delivery To Viosca Knoll | VKGS,NaN,Commodity,24.00000,�/Dth     ,System,Entire System
